;destination;origin;product;import;export;label;month;year
421;NL;DE;408;207089.0;364070.0;0;2;2012
422;NL;DE;408;1309650.0;721487.0;0;3;2012
423;NL;DE;408;592734.0;365089.0;0;4;2012
424;NL;DE;408;855493.0;720370.0;0;5;2012
425;NL;DE;408;946974.0;641220.0;0;6;2012
426;NL;DE;408;549723.0;457349.0;0;7;2012
427;NL;DE;408;833045.0;946810.0;0;8;2012
428;NL;DE;408;1145097.0;823555.0;0;9;2012
429;NL;DE;408;1494324.0;1409597.0;0;10;2012
430;NL;DE;408;1228846.0;1520419.0;0;11;2012
431;NL;DE;408;921705.0;1481882.0;0;12;2012
432;NL;DE;408;1344079.0;949028.0;0;1;2013
433;NL;DE;408;1043424.0;806631.0;0;2;2013
434;NL;DE;408;469189.0;1388333.0;0;3;2013
435;NL;DE;408;362672.0;254905.0;0;4;2013
436;NL;DE;408;468110.0;989772.0;0;5;2013
437;NL;DE;408;576454.0;1216102.0;0;6;2013
438;NL;DE;408;795511.0;1166423.0;0;7;2013
439;NL;DE;408;459764.0;397222.0;0;8;2013
440;NL;DE;408;363380.0;328810.0;0;9;2013
441;NL;DE;408;605379.0;634342.0;0;10;2013
442;NL;DE;408;467576.0;203231.0;0;11;2013
443;NL;DE;408;357185.0;171881.0;0;12;2013
444;NL;DE;408;367159.0;288593.0;0;1;2014
445;NL;DE;408;507583.0;410462.0;0;2;2014
446;NL;DE;408;642109.0;448062.0;0;3;2014
447;NL;DE;408;243629.0;632320.0;0;4;2014
448;NL;DE;408;919918.0;329779.0;0;5;2014
449;NL;DE;408;527160.0;261586.0;0;6;2014
450;NL;DE;408;572043.0;149352.0;0;7;2014
451;NL;DE;408;588037.0;335545.0;0;8;2014
452;NL;DE;408;572990.0;498451.0;0;9;2014
453;NL;DE;408;596553.0;187578.0;0;10;2014
454;NL;DE;408;661759.0;767846.0;0;11;2014
455;NL;DE;408;408158.0;694424.0;0;12;2014
456;NL;DE;408;463659.0;363179.0;0;1;2015
457;NL;DE;408;631496.0;183925.0;0;2;2015
458;NL;DE;408;651343.0;302940.0;0;3;2015
459;NL;DE;408;595667.0;415765.0;0;4;2015
460;NL;DE;408;536653.0;433589.0;0;5;2015
461;NL;DE;408;649168.0;555460.0;0;6;2015
462;NL;DE;408;948131.0;322089.0;0;7;2015
463;NL;DE;408;1027817.0;692721.0;0;8;2015
464;NL;DE;408;625123.0;402935.0;0;9;2015
465;NL;DE;408;692019.0;483389.0;0;10;2015
466;NL;DE;408;571084.0;239241.0;0;11;2015
467;NL;DE;408;425118.0;424810.0;0;12;2015
